WOY,WOY_WTP
1,25.98863361
2,24.4773714
3,23.51222847
4,22.90994832
5,22.76428539
6,22.98356032
7,23.58976827
8,24.64604581
9,26.2750217
10,28.47026964
11,31.476176
12,34.84847534
13,39.67961095
14,45.48017974
15,51.72690264
16,57.55134011
17,63.13717245
18,66.05120157
19,66.66666667
20,64.27140013
21,60.46939976
22,56.19543423
23,50.98968428
24,47.28340301
25,43.54293159
26,41.04524171
27,3.90E+01
28,37.99397871
29,37.3984725
30,37.59503084
31,38.19686358
32,39.67961095
33,41.52160057
34,43.54293159
35,46.06577548
36,49.9224704
37,53.66666774
38,57.55134011
39,60.46939976
40,63.13717245
41,64.27140013
42,63.69929854
43,61.50901292
44,58.97429546
45,54.48385807
46,49.9224704
47,44.62920937
48,40.12457879
49,36.26136613
50,32.77349647
51,30.40607927
52,27.69902023
53,25.98863361
54,22.76428539
