flight_number,class,origin,destination,departure_date,date,website_visit,number_of_checkouts,checkout_rate,DCP,class_dcp,air_fare_usd,daily_revenue,WTP,average_time_onsite
CX6321,Economy,HND,HKG,2023-03-30,2023-03-01,887,7,0.7891770011273956,1,Economy_1,650.0,4550.0,590.0,13.576133781913208
CX6321,Business,HND,HKG,2023-03-30,2023-03-01,362,3,0.8287292817679558,1,Business_1,3250.0,9750.0,3207.0,13.576133781913208
CX6321,Economy,HND,HKG,2023-03-30,2023-03-02,867,6,0.6920415224913495,1,Economy_1,650.0,3900.0,586.0,14.694672471762283
CX6321,Business,HND,HKG,2023-03-30,2023-03-02,353,1,0.28328611898017,1,Business_1,3250.0,3250.0,3247.0,14.694672471762283
CX6321,Economy,HND,HKG,2023-03-30,2023-03-03,893,5,0.5599104143337066,1,Economy_1,650.0,3250.0,661.0,18.442601822908266
CX6321,Business,HND,HKG,2023-03-30,2023-03-03,372,2,0.5376344086021506,1,Business_1,3250.0,6500.0,3297.0,18.442601822908266
CX6321,Economy,HND,HKG,2023-03-30,2023-03-04,905,4,0.44198895027624313,1,Economy_1,650.0,2600.0,571.0,11.748784903531135
CX6321,Business,HND,HKG,2023-03-30,2023-03-04,367,0,0.0,1,Business_1,3250.0,0.0,3402.0,11.748784903531135
CX6321,Economy,HND,HKG,2023-03-30,2023-03-05,913,6,0.6571741511500547,1,Economy_1,650.0,3900.0,765.0,18.89272866346691
CX6321,Business,HND,HKG,2023-03-30,2023-03-05,343,0,0.0,1,Business_1,3250.0,0.0,3191.0,18.89272866346691
CX6321,Economy,HND,HKG,2023-03-30,2023-03-06,870,9,1.0344827586206897,2,Economy_2,845.0,7605.0,981.0,15.744967863469965
CX6321,Business,HND,HKG,2023-03-30,2023-03-06,377,1,0.2652519893899204,2,Business_2,4225.0,4225.0,4294.0,15.744967863469965
CX6321,Economy,HND,HKG,2023-03-30,2023-03-07,911,5,0.5488474204171241,2,Economy_2,845.0,4225.0,987.0,23.802075545989403
CX6321,Business,HND,HKG,2023-03-30,2023-03-07,355,3,0.8450704225352111,2,Business_2,4225.0,12675.0,4331.0,23.802075545989403
CX6321,Economy,HND,HKG,2023-03-30,2023-03-08,970,3,0.30927835051546393,2,Economy_2,845.0,2535.0,961.0,10.833870268445146
CX6321,Business,HND,HKG,2023-03-30,2023-03-08,387,2,0.516795865633075,2,Business_2,4225.0,8450.0,4102.0,10.833870268445146
CX6321,Economy,HND,HKG,2023-03-30,2023-03-09,924,5,0.5411255411255411,2,Economy_2,845.0,4225.0,980.0,15.23829031292633
CX6321,Business,HND,HKG,2023-03-30,2023-03-09,389,0,0.0,2,Business_2,4225.0,0.0,4177.0,15.23829031292633
CX6321,Economy,HND,HKG,2023-03-30,2023-03-10,946,7,0.7399577167019027,2,Economy_2,845.0,5915.0,727.0,12.995640490830567
CX6321,Business,HND,HKG,2023-03-30,2023-03-10,388,0,0.0,2,Business_2,4225.0,0.0,4062.0,12.995640490830567
CX6321,Economy,HND,HKG,2023-03-30,2023-03-11,913,5,0.547645125958379,2,Economy_2,845.0,4225.0,740.0,20.40979968391284
CX6321,Business,HND,HKG,2023-03-30,2023-03-11,387,1,0.2583979328165375,2,Business_2,4225.0,4225.0,4183.0,20.40979968391284
CX6321,Economy,HND,HKG,2023-03-30,2023-03-12,961,7,0.72840790842872,2,Economy_2,845.0,5915.0,858.0,10.953810287158609
CX6321,Business,HND,HKG,2023-03-30,2023-03-12,360,1,0.2777777777777778,2,Business_2,4225.0,4225.0,4045.0,10.953810287158609
CX6321,Economy,HND,HKG,2023-03-30,2023-03-13,955,12,1.256544502617801,3,Economy_3,780.0,9360.0,972.0,12.714550516076672
CX6321,Business,HND,HKG,2023-03-30,2023-03-13,364,0,0.0,3,Business_3,3900.0,0.0,4086.0,12.714550516076672
CX6321,Economy,HND,HKG,2023-03-30,2023-03-14,956,5,0.5230125523012552,3,Economy_3,780.0,3900.0,882.0,13.334902397807562
CX6321,Business,HND,HKG,2023-03-30,2023-03-14,366,2,0.546448087431694,3,Business_3,3900.0,7800.0,3738.0,13.334902397807562
CX6321,Economy,HND,HKG,2023-03-30,2023-03-15,919,4,0.4352557127312296,3,Economy_3,780.0,3120.0,807.0,24.796759146956493
