flight_number,class,origin,destination,departure_date,date,website_visit,number_of_checkouts,checkout_rate,DCP,class_dcp,air_fare_usd,daily_revenue,WTP2,average_time_onsite
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-01,76,4,5.263157894736842,1,Economy_1,650.0,2600.0,591.5,20.856682894901915
NZ631,Business,AKL,SYD,2023-08-30,2023-08-01,35,2,5.714285714285714,1,Business_1,3250.0,6500.0,3412.5,20.856682894901915
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-02,93,5,5.376344086021505,1,Economy_1,650.0,3250.0,702.0,13.736078080901756
NZ631,Business,AKL,SYD,2023-08-30,2023-08-02,35,0,0.0,1,Business_1,3250.0,0.0,3412.5,13.736078080901756
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-03,94,5,5.319148936170213,1,Economy_1,650.0,3250.0,708.5,23.09494359559855
NZ631,Business,AKL,SYD,2023-08-30,2023-08-03,38,0,0.0,1,Business_1,3250.0,0.0,3510.0000000000005,23.09494359559855
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-04,80,3,3.75,1,Economy_1,650.0,1950.0,617.5,14.368891110873669
NZ631,Business,AKL,SYD,2023-08-30,2023-08-04,37,3,8.108108108108109,1,Business_1,3250.0,9750.0,3477.5,14.368891110873669
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-05,82,5,6.097560975609756,1,Economy_1,650.0,3250.0,630.5,12.969231250230575
NZ631,Business,AKL,SYD,2023-08-30,2023-08-05,32,2,6.25,1,Business_1,3250.0,6500.0,3315.0,12.969231250230575
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-06,84,1,1.1904761904761905,1,Economy_1,650.0,650.0,643.5,20.399136104628127
NZ631,Business,AKL,SYD,2023-08-30,2023-08-06,33,2,6.0606060606060606,1,Business_1,3250.0,6500.0,3347.5,20.399136104628127
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-07,97,4,4.123711340206185,2,Economy_2,845.0,3380.0,946.4000000000001,13.216233598454451
NZ631,Business,AKL,SYD,2023-08-30,2023-08-07,39,1,2.564102564102564,2,Business_2,4225.0,4225.0,4605.25,13.216233598454451
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-08,99,3,3.0303030303030303,2,Economy_2,845.0,2535.0,963.3000000000001,22.3889676824231
NZ631,Business,AKL,SYD,2023-08-30,2023-08-08,37,1,2.7027027027027026,2,Business_2,4225.0,4225.0,4520.75,22.3889676824231
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-09,85,3,3.5294117647058822,2,Economy_2,845.0,2535.0,845.0,20.761786716147345
NZ631,Business,AKL,SYD,2023-08-30,2023-08-09,41,1,2.4390243902439024,2,Business_2,4225.0,4225.0,4689.75,20.761786716147345
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-10,89,3,3.3707865168539324,2,Economy_2,845.0,2535.0,878.8000000000001,19.49264225182025
NZ631,Business,AKL,SYD,2023-08-30,2023-08-10,40,0,0.0,2,Business_2,4225.0,0.0,4647.5,19.49264225182025
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-11,84,3,3.571428571428571,2,Economy_2,845.0,2535.0,836.55,23.51987690842214
NZ631,Business,AKL,SYD,2023-08-30,2023-08-11,38,1,2.631578947368421,2,Business_2,4225.0,4225.0,4563.0,23.51987690842214
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-12,97,7,7.216494845360824,2,Economy_2,845.0,5915.0,946.4000000000001,21.920971359574757
NZ631,Business,AKL,SYD,2023-08-30,2023-08-12,32,1,3.125,2,Business_2,4225.0,4225.0,4309.5,21.920971359574757
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-13,98,5,5.1020408163265305,2,Economy_2,845.0,4225.0,954.8499999999999,23.01307098171253
NZ631,Business,AKL,SYD,2023-08-30,2023-08-13,34,0,0.0,2,Business_2,4225.0,0.0,4394.0,23.01307098171253
NZ631,Economy,AKL,SYD,2023-08-30,2023-08-14,103,4,3.8834951456310676,3,Economy_3,780.0,3120.0,920.4,14.090180367195817
NZ631,Business,AKL,SYD,2023-08-30,2023-08-14,42,0,0.0,3,Business_3,3900.0,0.0,4368.0,14.090180367195817
