,flight_number,class,origin,destination,departure_date,date,website_visit,number_of_checkouts,checkout_rate,DCP,class_dcp,air_fare_usd,daily_revenue,WTP2,average_time_onsite
0,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-10,76,4,5.263157894736842,1,Economy_1,650.0,2600.0,526.5,20.856682894901915
1,NZ631,Business,AKL,SYD,2023-08-30,2023-07-10,35,2,5.714285714285714,1,Business_1,3250.0,6500.0,3250.0,20.856682894901915
2,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-11,93,5,5.376344086021505,1,Economy_1,650.0,3250.0,637.0,13.736078080901756
3,NZ631,Business,AKL,SYD,2023-08-30,2023-07-11,35,0,0.0,1,Business_1,3250.0,0.0,3250.0,13.736078080901756
4,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-12,94,5,5.319148936170213,1,Economy_1,650.0,3250.0,643.5,23.09494359559855
5,NZ631,Business,AKL,SYD,2023-08-30,2023-07-12,38,0,0.0,1,Business_1,3250.0,0.0,3347.5,23.09494359559855
6,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-13,80,3,3.75,1,Economy_1,650.0,1950.0,552.5,14.368891110873667
7,NZ631,Business,AKL,SYD,2023-08-30,2023-07-13,37,3,8.108108108108109,1,Business_1,3250.0,9750.0,3315.0,14.368891110873667
8,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-14,82,5,6.097560975609756,1,Economy_1,650.0,3250.0,565.5,12.969231250230576
9,NZ631,Business,AKL,SYD,2023-08-30,2023-07-14,32,2,6.25,1,Business_1,3250.0,6500.0,3152.5,12.969231250230576
10,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-15,84,1,1.1904761904761905,1,Economy_1,650.0,650.0,578.5,20.399136104628127
11,NZ631,Business,AKL,SYD,2023-08-30,2023-07-15,33,2,6.0606060606060606,1,Business_1,3250.0,6500.0,3185.0,20.399136104628127
12,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-16,97,4,4.123711340206185,2,Economy_2,845.0,3380.0,861.9,13.216233598454451
13,NZ631,Business,AKL,SYD,2023-08-30,2023-07-16,39,1,2.564102564102564,2,Business_2,4225.0,4225.0,4394.0,13.216233598454451
14,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-17,99,3,3.0303030303030303,2,Economy_2,845.0,2535.0,878.8000000000001,22.3889676824231
15,NZ631,Business,AKL,SYD,2023-08-30,2023-07-17,37,1,2.702702702702702,2,Business_2,4225.0,4225.0,4309.5,22.3889676824231
16,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-18,85,3,3.5294117647058822,2,Economy_2,845.0,2535.0,760.5,20.761786716147345
17,NZ631,Business,AKL,SYD,2023-08-30,2023-07-18,41,1,2.4390243902439024,2,Business_2,4225.0,4225.0,4478.5,20.761786716147345
18,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-19,89,3,3.3707865168539324,2,Economy_2,845.0,2535.0,794.3,19.49264225182025
19,NZ631,Business,AKL,SYD,2023-08-30,2023-07-19,40,0,0.0,2,Business_2,4225.0,0.0,4436.25,19.49264225182025
20,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-20,84,3,3.571428571428571,2,Economy_2,845.0,2535.0,752.05,23.51987690842214
21,NZ631,Business,AKL,SYD,2023-08-30,2023-07-20,38,1,2.631578947368421,2,Business_2,4225.0,4225.0,4351.75,23.51987690842214
22,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-21,97,7,7.216494845360824,2,Economy_2,845.0,5915.0,861.9,21.92097135957476
23,NZ631,Business,AKL,SYD,2023-08-30,2023-07-21,32,1,3.125,2,Business_2,4225.0,4225.0,4098.25,21.92097135957476
24,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-22,98,5,5.1020408163265305,2,Economy_2,845.0,4225.0,870.35,23.01307098171253
25,NZ631,Business,AKL,SYD,2023-08-30,2023-07-22,34,0,0.0,2,Business_2,4225.0,0.0,4182.75,23.01307098171253
26,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-23,103,4,3.883495145631068,3,Economy_3,780.0,3120.0,842.4000000000001,14.090180367195815
27,NZ631,Business,AKL,SYD,2023-08-30,2023-07-23,42,0,0.0,3,Business_3,3900.0,0.0,4173.0,14.090180367195815
28,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-24,100,2,2.0,3,Economy_3,780.0,1560.0,819.0,17.253724598629603
29,NZ631,Business,AKL,SYD,2023-08-30,2023-07-24,39,1,2.564102564102564,3,Business_3,3900.0,3900.0,4056.0,17.253724598629603
30,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-25,100,2,2.0,3,Economy_3,780.0,1560.0,819.0,20.056814371062337
31,NZ631,Business,AKL,SYD,2023-08-30,2023-07-25,33,0,0.0,3,Business_3,3900.0,0.0,3822.0,20.056814371062337
32,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-26,101,1,0.99009900990099,3,Economy_3,780.0,780.0,826.8000000000001,19.66415917477758
33,NZ631,Business,AKL,SYD,2023-08-30,2023-07-26,40,2,5.0,3,Business_3,3900.0,7800.0,4095.0,19.66415917477758
34,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-27,101,1,0.99009900990099,3,Economy_3,780.0,780.0,826.8000000000001,24.124998130813573
35,NZ631,Business,AKL,SYD,2023-08-30,2023-07-27,34,0,0.0,3,Business_3,3900.0,0.0,3861.0,24.124998130813573
36,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-28,88,1,1.1363636363636365,3,Economy_3,780.0,780.0,725.4,12.426696733190017
37,NZ631,Business,AKL,SYD,2023-08-30,2023-07-28,42,2,4.761904761904762,3,Business_3,3900.0,7800.0,4173.0,12.426696733190017
38,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-29,107,3,2.803738317757009,3,Economy_3,780.0,2340.0,873.6000000000001,15.294432160150109
39,NZ631,Business,AKL,SYD,2023-08-30,2023-07-29,37,0,0.0,3,Business_3,3900.0,0.0,3978.0,15.294432160150109
40,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-30,99,5,5.05050505050505,4,Economy_4,975.0,4875.0,1014.0,17.986712173014947
41,NZ631,Business,AKL,SYD,2023-08-30,2023-07-30,34,1,2.941176470588235,4,Business_4,4875.0,4875.0,4826.25,17.986712173014947
42,NZ631,Economy,AKL,SYD,2023-08-30,2023-07-31,97,4,4.123711340206185,4,Economy_4,975.0,3900.0,994.5,20.079587941363137
43,NZ631,Business,AKL,SYD,2023-08-30,2023-07-31,42,1,2.380952380952381,4,Business_4,4875.0,4875.0,5216.25,20.079587941363137
44,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-01,91,4,4.395604395604396,4,Economy_4,975.0,3900.0,936.0,11.039088043895184
45,NZ631,Business,AKL,SYD,2023-08-30,2023-08-01,43,2,4.651162790697675,4,Business_4,4875.0,9750.0,5265.0,11.039088043895184
46,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-02,104,6,5.769230769230769,4,Economy_4,975.0,5850.0,1062.75,24.235632472672
47,NZ631,Business,AKL,SYD,2023-08-30,2023-08-02,38,1,2.631578947368421,4,Business_4,4875.0,4875.0,5021.25,24.235632472672
48,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-03,104,1,0.9615384615384616,4,Economy_4,975.0,975.0,1062.75,21.33859192197952
49,NZ631,Business,AKL,SYD,2023-08-30,2023-08-03,37,0,0.0,4,Business_4,4875.0,0.0,4972.5,21.33859192197952
50,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-04,99,4,4.040404040404041,4,Economy_4,975.0,3900.0,1014.0,24.31926154270831
51,NZ631,Business,AKL,SYD,2023-08-30,2023-08-04,41,1,2.4390243902439024,4,Business_4,4875.0,4875.0,5167.5,24.31926154270831
52,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-05,89,3,3.3707865168539324,4,Economy_4,975.0,2925.0,916.5,21.46233406874135
53,NZ631,Business,AKL,SYD,2023-08-30,2023-08-05,40,0,0.0,4,Business_4,4875.0,0.0,5118.75,21.46233406874135
54,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-06,102,3,2.941176470588235,5,Economy_5,1105.0,3315.0,1182.35,21.15887168492677
55,NZ631,Business,AKL,SYD,2023-08-30,2023-08-06,35,2,5.714285714285714,5,Business_5,5525.0,11050.0,5525.0,21.15887168492677
56,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-07,103,1,0.9708737864077668,5,Economy_5,1105.0,1105.0,1193.4,17.828486901271834
57,NZ631,Business,AKL,SYD,2023-08-30,2023-08-07,37,1,2.702702702702702,5,Business_5,5525.0,5525.0,5635.5,17.828486901271834
58,NZ631,Economy,AKL,SYD,2023-08-30,2023-08-08,102,4,3.92156862745098,5,Economy_5,1105.0,4420.0,1182.35,24.939841953614312
59,NZ631,Business,AKL,SYD,2023-08-30,2023-08-08,43,2,4.651162790697675,5,Business_5,5525.0,11050.0,5967.0,24.939841953614312
